t # 0
v 278042 6
v 278736 6
v 278739 6
v 272553 3
v 272552 3
v 416144 6
v 272554 67
v 319034 27
v 319036 27
v 368347 6
v 367822 45
v 258923 6
v 233377 70
v 233379 67
v 207809 6
v 8034 13
v 259525 6
v 268876 45
v 259527 6
v 259526 6
v 401035 6
v 8528 13
v 413775 51
v 405905 6
v 12853 44
v 12852 44
v 95969 6
v 221316 6
v 95964 6
v 413776 70
v 375549 6
v 219669 6
v 109901 6
v 413777 70
v 267003 44
v 267691 6
v 4299 60
v 4298 36
v 4295 60
v 4294 60
v 4297 60
v 4296 60
v 4291 60
v 4290 60
v 4293 60
v 154847 6
v 372043 6
v 3513 60
v 382915 6
v 276071 6
v 318073 74
v 61258 22
v 318075 51
v 318074 67
v 318079 73
v 35663 6
v 350792 6
v 350793 6
v 276383 73
v 276380 73
v 4748 60
v 276384 67
v 276385 70
v 4743 60
v 4742 14
v 4741 60
v 4740 36
v 4747 36
v 99193 6
v 4745 60
v 4744 36
v 286917 45
v 286912 6
v 266923 6
v 98128 45
v 52349 6
v 293583 51
v 293582 73
v 2183 60
v 2182 60
v 2181 60
v 2180 14
v 2187 60
v 2186 60
v 2185 60
v 2184 60
v 4606 60
v 4607 60
v 2189 60
v 2188 60
v 4602 60
v 4603 60
v 4600 60
v 4601 14
v 101515 6
v 57647 6
v 8686 6
v 227069 6
v 153457 6
v 153 35
v 152 35
v 155 35
v 157 35
v 156 35
v 159 35
v 158 35
v 6900 12
v 163 35
v 385031 6
v 240378 6
v 381791 6
v 413794 51
v 385032 6
v 152855 6
v 357220 6
v 42313 6
v 281865 45
v 200576 6
v 2727 60
v 270561 3
v 2725 60
v 2724 60
v 2723 60
v 2722 60
v 2721 14
v 2720 60
v 2729 60
v 2728 14
v 9191 6
v 389725 70
v 7943 6
v 10376 13
v 6238 6
v 12204 6
v 12205 6
v 12206 6
v 6236 51
v 6231 13
v 6233 13
v 294119 3
v 294118 3
v 95186 6
v 367616 6
v 8867 6
v 142100 6
v 8865 6
v 342255 6
v 112211 6
v 112210 6
v 8868 6
v 8869 13
v 367378 6
v 341046 6
v 294112 3
v 236045 6
v 294111 67
v 817 35
v 293494 3
v 67579 6
v 3492 60
v 294116 3
v 265784 6
v 294115 3
v 338804 44
v 271166 6
v 294114 3
v 271163 6
v 1700 79
v 2095 14
v 1702 79
v 1704 79
v 5262 13
v 5261 13
v 372577 12
v 1708 79
v 322446 6
v 4572 36
v 37181 12
v 2096 60
v 419246 6
v 2091 60
v 419249 45
v 158904 6
v 4575 60
v 275264 3
v 275266 74
v 275260 3
v 2093 60
v 415600 6
v 4577 60
v 275268 3
v 267062 49
v 397537 73
v 14454 6
v 7936 6
v 122226 22
v 3029 60
v 3028 60
v 3027 14
v 3026 14
v 3025 60
v 3024 60
v 3023 60
v 3022 60
v 3021 36
v 3020 60
v 19443 6
v 91189 6
v 59973 22
v 229058 6
v 302 35
v 267209 6
v 303 35
v 361756 45
v 4198 36
v 4199 14
v 4196 14
v 4197 60
v 4194 60
v 4195 60
v 4192 60
v 4193 14
v 4190 60
v 4191 60
v 285443 6
v 5672 6
v 5673 13
v 5675 13
v 5677 13
v 5679 6
v 19444 6
v 330493 12
v 118542 6
v 228635 6
v 91236 12
v 144199 6
v 213751 6
v 302975 3
v 302977 3
v 302971 3
v 302973 3
v 228011 6
v 302979 70
v 8350 6
v 275901 49
v 8352 6
v 12444 51
v 308058 51
v 308059 51
v 8354 6
v 308057 67
v 87922 6
v 194696 6
v 73604 6
v 355412 6
v 279726 6
v 266004 6
v 266007 6
v 276719 3
v 276718 3
v 266002 6
v 276717 3
v 119659 6
v 401205 6
v 78924 6
v 401208 6
v 140291 6
v 286053 6
v 6758 6
v 279894 6
v 97117 6
v 98609 6
v 4180 60
v 6754 13
v 6755 51
v 368697 6
v 368698 6
v 376137 12
v 292046 6
v 238 35
v 234 35
v 235 35
v 236 35
v 237 35
v 230 35
v 146870 6
v 232 35
v 233 35
v 377084 6
v 154107 6
v 100054 49
v 85388 6
v 21870 6
v 302511 6
v 236698 6
v 236699 6
v 333204 6
v 315347 6
v 415709 6
v 281584 6
